Fecha,Total 60-64,Azteca 60-64,Banamex 60-64,Coppel 60-64,Inbursa 60-64,Invercap 60-64,PensionISSSTE 60-64,Principal 60-64,Profuturo 60-64,SURA 60-64,XXI Banorte 60-64,Total 65-69,Azteca 65-69,Banamex 65-69,Coppel 65-69,Inbursa 65-69,Invercap 65-69,PensionISSSTE 65-69,Principal 65-69,Profuturo 65-69,SURA 65-69,XXI Banorte 65-69,Total 70-74,Azteca 70-74,Banamex 70-74,Coppel 70-74,Inbursa 70-74,Invercap 70-74,PensionISSSTE 70-74,Principal 70-74,Profuturo 70-74,SURA 70-74,XXI Banorte 70-74,Total 75-79,Azteca 75-79,Banamex 75-79,Coppel 75-79,Inbursa 75-79,Invercap 75-79,PensionISSSTE 75-79,Principal 75-79,Profuturo 75-79,SURA 75-79,XXI Banorte 75-79,Total 80-84,Azteca 80-84,Banamex 80-84,Coppel 80-84,Inbursa 80-84,Invercap 80-84,PensionISSSTE 80-84,Principal 80-84,Profuturo 80-84,SURA 80-84,XXI Banorte 80-84,Total 85-89,Azteca 85-89,Banamex 85-89,Coppel 85-89,Inbursa 85-89,Invercap 85-89,PensionISSSTE 85-89,Principal 85-89,Profuturo 85-89,SURA 85-89,XXI Banorte 85-89,Total 90-94,Azteca 90-94,Banamex 90-94,Coppel 90-94,Inbursa 90-94,Invercap 90-94,PensionISSSTE 90-94,Principal 90-94,Profuturo 90-94,SURA 90-94,XXI Banorte 90-94,Total 95-99,Azteca 95-99,Banamex 95-99,Coppel 95-99,Inbursa 95-99,Invercap 95-99,PensionISSSTE 95-99,Principal 95-99,Profuturo 95-99,SURA 95-99,XXI Banorte 95-99
30/11/2021,504759.0639,13449.41403,60523.90578,20077.58321,23611.10753,20519.79569,41431.27598,40323.2633,87318.13811,74597.59945,122906.9808,728621.3591,22844.04605,95821.03768,32989.82177,30996.46596,34004.15428,42361.53821,57162.63384,130120.0815,111129.111,171192.4688,889314.0915,30927.93505,130810.1397,45375.30573,31872.18426,45976.63163,39237.51137,68508.61645,161791.5333,146457.3305,188356.9034,869084.1677,33421.80339,140567.0211,52207.22983,26445.59584,47749.47167,39781.49795,59914.03415,162593.8079,138962.6456,167441.0602,785300.2659,33297.67987,149305.1494,55801.69709,17985.66352,42743.18576,48892.29648,45755.04377,129351.3117,121774.653,140393.5853,562283.117,28109.57139,130709.1124,61667.60539,10137.8664,28600.06723,44153.41968,20783.4712,64868.64126,90154.05767,83099.30437,316988.2606,23382.32537,78073.31659,62146.76496,4073.78184,12206.94879,20955.68441,6103.22313,33484.81544,48082.9188,28478.48123,94235.79997,12150.08904,21501.09617,30273.04185,375.9837387,1710.20815,4624.663078,1935.139352,11367.97502,10521.70061,3530.956014
31/12/2021,508576.6871,13626.73413,60886.70747,20140.519,23663.40459,20518.16109,41957.27967,40685.54036,87806.64032,75690.11875,123601.5817,737674.8382,23276.81406,96925.96055,33214.27789,31229.5586,34236.23171,42839.88508,57880.39803,131584.7896,113250.4888,173236.4339,901428.697,31602.08186,132687.5855,45848.85119,32261.11966,46395.90347,39696.62829,69437.42683,163863.4768,148958.9931,190676.6303,881884.7523,34238.39887,142540.7028,52846.64845,26851.86199,48335.45497,40345.90414,60749.02604,164960.5177,141413.202,169603.0353,797685.1584,34185.87268,151546.4185,56537.75992,18374.73128,43386.97151,49591.24866,46367.88673,131681.8739,124127.6494,141884.7458,571949.4423,28922.50634,132721.034,62409.93171,10414.46504,29158.31202,44878.18286,21146.69716,66469.21985,91856.85556,83972.23779,323344.593,24117.51033,79469.04045,62971.77303,4205.080242,12536.39015,21429.14105,6263.258829,34398.54851,49100.40437,28853.44606,93592.89307,12113.32518,21335.14631,30049.71095,375.4720365,1707.362275,4596.777168,1914.058709,11307.42982,10387.65498,3517.54059
31/01/2022,495885.3814,13319.01428,58763.83584,19717.66897,23399.53627,20002.09897,41608.89383,39697.53007,85353.74873,74215.92802,119807.1265,730231.7656,22880.68678,94310.1683,32749.88465,31380.3184,33560.76158,46757.73637,56705.10154,130417.8982,112051.1868,169418.023,885808.2073,31049.98387,129084.5173,45217.4278,32282.85742,45147.22055,41695.82897,67599.72879,161401.1933,146742.3256,185587.1237,861891.5268,33675.98822,138334.9687,52093.31224,26889.40024,46918.587,40193.8266,58825.22086,161656.9584,138914.1561,164389.1084,778483.745,33653.41598,146846.519,55696.10913,18449.37173,42078.72815,49293.07902,44732.1373,128861.9307,121689.5575,137182.8965,560649.8476,28566.99746,129043.0894,61494.7857,10472.88409,28343.31203,44727.91481,20516.53815,65660.69627,90454.60048,81369.02918,319273.999,23936.55957,77851.26235,62325.03287,4260.522917,12272.45045,21485.25077,6130.011298,34226.20321,48624.53654,28162.16902,99021.65437,12786.81718,22536.9601,31550.73242,400.0193916,1807.281627,4884.624151,2030.478306,12075.11005,11009.57543,3739.968161
28/02/2022,489927.24,13272.0547,57368.60334,19587.86264,23190.06304,19666.02804,41335.18249,39362.86979,84309.0075,73905.48818,117930.0803,726866.4127,22971.11534,92645.2725,32802.00592,31552.97758,33374.42456,46445.4482,56619.31891,130381.0602,112378.8015,167695.988,881782.4762,31218.02108,126977.812,45292.21123,32578.4784,44704.16887,41446.82656,67420.28524,161613.2912,147073.4138,183457.9678,857715.679,33919.19838,135820.8317,52224.56431,27186.45832,46470.12164,39963.94807,58685.05442,162003.1715,139108.6108,162333.7198,774448.1581,33955.4717,143974.2619,55837.59623,18679.52355,41851.8456,48942.2041,44644.66099,129474.9835,121768.8306,135318.78,558168.8322,28877.37473,126633.8779,61494.12645,10662.26679,28225.50314,44400.51207,20499.34388,66516.85382,90610.04263,80248.9308,318803.5227,24196.39576,76597.00373,62361.36221,4357.227867,12265.51399,21391.14856,6172.089374,34745.79974,48783.60153,27933.37992,100973.7524,13138.16978,22864.12567,32216.55694,406.9572268,1842.649033,4964.983773,2063.165322,12258.81825,11279.84733,3826.503647
31/03/2022,488541.3259,13258.53943,56802.20892,19416.00627,23100.36815,19417.47141,41541.64667,39467.00434,84209.65489,74061.9277,117266.4981,734623.2186,23292.19815,93083.83724,32819.83552,31874.50284,33610.24944,46738.96998,57304.75172,132659.105,114284.3604,168955.4083,893754.6423,31868.08937,127664.5769,45444.51414,33057.41971,45028.91881,41924.12641,68339.1739,165664.9911,149907.8189,184855.0132,871455.5373,34757.63714,136652.761,52593.30752,27627.73552,46935.80195,40682.27148,59745.86837,166534.6561,142114.7493,163810.7489,789413.5814,34905.5689,145283.8875,56281.32376,19081.40927,42430.07671,49876.15266,45613.24551,134019.3938,124800.2748,137122.2484,570399.9609,29825.85977,128143.91,61985.13812,10953.93194,28694.57555,45368.71051,21075.24896,69574.79536,93180.57557,81597.21504,327627.5125,25068.60585,78024.92965,63093.519,4489.271705,12546.27934,22144.8017,6409.819567,36638.75155,50544.7933,28666.74086,104623.1606,13651.0674,23357.4302,33192.02578,448.1565508,1901.099565,5149.285331,1857.421485,12876.45903,11786.94236,4047.071867
30/04/2022,474859.1902,12916.71519,55106.51366,18964.75211,22706.21319,19036.88727,40644.63191,38274.39594,81840.17039,71726.41386,113642.4967,718274.8118,22832.29181,90582.93356,32226.92915,31571.09285,33200.56937,45756.66474,55895.65266,130164.621,111401.1322,164642.9245,870701.0682,31245.67162,123472.0416,44566.83677,32595.51724,44201.56732,41095.33388,66327.49369,162418.5074,145579.4241,179198.6746,846945.0182,34111.63943,131603.158,51616.07502,27153.20555,45761.06235,39854.45222,57839.08372,162952.5898,137723.2896,158330.4626,764273.7912,34213.47428,139309.7926,55067.47502,18737.00722,41150.76479,48775.55368,43789.39072,130501.563,120457.6729,132271.097,551985.8017,29254.12548,122738.1037,60490.81934,10723.7784,27728.68336,44355.35938,20260.31521,67945.23756,89815.56848,78673.81074,317728.5657,24567.36992,74922.1679,61532.95144,4400.667845,12160.20055,21702.90074,6197.626289,35767.24911,48784.69451,27692.73741,105474.719,13633.26131,23178.18721,32909.55028,518.3753701,1906.001512,5033.554277,1798.238031,13162.56127,12097.0238,4380.273376
31/05/2022,472816.3135,12952.92878,54940.05803,18899.4303,22350.90559,18872.40038,38410.71179,38221.69437,82309.4179,72754.11214,113104.6543,721686.1733,23136.46959,90565.00439,32334.59389,31547.09604,33258.63275,42878.3549,56571.43248,132011.0245,113750.5242,165633.0406,876937.686,31693.44946,125128.9874,44771.63409,32546.44527,44333.7417,37392.18261,66460.69188,165177.3645,148582.1211,180851.0681,853301.9341,34728.41904,133495.1943,51903.49573,25719.34855,45970.91657,37516.94776,58740.48792,165491.0771,140836.7358,158899.3113,770600.8992,33177.14457,142707.4314,52063.64943,18764.20356,41290.91708,45388.74941,43870.28981,133841.5053,124633.2938,134863.7149,558793.1486,29081.01597,120961.7347,58830.00614,10778.37568,27869.03264,44924.42713,20378.90663,70970.82593,93719.39107,81279.43271,324488.1633,24490.4868,75977.25855,59810.89029,4453.021624,12292.2668,22229.90826,6293.5173,37880.51985,51276.5211,29783.77277,112343.3993,14412.25881,24649.50306,34613.21291,564.0853353,2018.176381,5352.950897,1902.829653,14214.54888,12958.95474,4747.964195
30/06/2022,461911.5563,12755.18281,53678.27817,18757.63039,21959.74613,18493.94943,37893.58444,37253.44148,80272.36971,70789.06339,110058.3104,708896.5684,22907.16908,88761.22899,32384.95318,31107.43679,32793.17416,42304.21217,55595.01843,129768.0843,111466.5114,161808.78,857973.8835,31393.46345,121657.4599,44664.86449,31915.42461,43458.68515,36931.95464,65089.9118,162071.9115,145051.5011,175738.7068,832193.8152,34382.38661,129346.1673,51611.60767,25048.62634,44730.89901,37041.46889,57198.79499,161809.4528,137170.7257,153853.686,748607.8486,32860.19113,137411.0871,51463.80104,18239.718,39879.33367,44670.92539,42338.37215,130339.0962,120930.0197,130475.3042,542700.7815,28829.63895,116245.7357,57911.47642,10470.29821,26902.60735,44188.60688,19621.67186,69226.48771,90747.27246,78556.98596,315990.9131,24237.78497,73258.17206,58788.11454,4323.770926,11864.64778,21890.40419,6088.288258,36970.15001,49734.61537,28834.96501,113990.4261,14527.13872,25149.41929,34877.5497,578.8352139,2064.067966,5391.723725,1942.034945,14537.69362,13119.5474,4840.711261
31/07/2022,468624.675,12991.54214,54303.37066,18871.99767,21825.2643,18690.52249,38514.02045,37772.87835,81751.05686,72493.85417,111410.1679,727612.5133,23583.545,91176.42254,32894.69926,31291.82854,33602.00819,43120.55447,57107.52097,133838.9319,115218.3887,165778.6138,883589.2561,32390.50678,126112.6761,45500.81399,32074.44057,44521.52714,37867.71399,66874.51811,167347.1722,150272.0378,180627.8495,859703.8622,35555.72078,134479.5407,52747.30357,25177.20675,46039.84106,38126.40835,59036.04789,167616.355,142262.4178,158663.0202,776467.6423,34089.28237,143358.3082,52795.43768,18356.07715,41183.99735,46104.00989,43839.42269,135729.307,126068.1892,134943.6108,565566.6159,29999.23448,121921.2226,59493.4799,10581.27796,27832.6113,45746.4128,20404.33927,72667.49054,95247.99928,81672.54782,331461.3766,25356.16821,77361.96109,60655.97423,4419.637343,12333.86901,22813.62828,6383.530455,39250.9267,52657.10515,30228.57615,119058.6836,15127.93298,26258.27265,36008.16158,611.4874903,2155.741337,5611.040909,2034.95244,15357.21997,13750.46955,5110.967167
31/08/2022,460107.3622,12802.30183,53499.33916,18508.50559,21328.98471,18387.82885,38118.20244,36894.00194,80533.07308,70937.68288,109097.4418,719285.3058,23488.62149,90176.88422,32444.67751,30908.81652,33270.03339,42684.15698,56525.74945,132849.5185,113510.1977,163426.6501,871834.1703,32137.49586,124320.5382,44903.10714,31579.5204,43905.02676,37627.49918,66097.39932,165906.5155,147678.8565,177678.2114,847367.0081,35342.14226,132502.3855,51998.98536,24766.8034,45248.33491,37794.7322,58290.24831,165841.8517,139596.2289,155985.2955,764328.3456,33863.98073,140884.4062,51927.65528,18027.91754,40433.83054,45589.60893,43057.70975,134247.6338,123550.5786,132745.0242,556562.8156,29871.17834,119818.0814,58340.92096,10399.68562,27282.36001,45146.83247,20089.35583,72038.85712,93251.87118,80323.6726,326616.5166,25254.7314,76129.02548,59506.21394,4342.241651,12113.94976,22519.15634,6309.568218,38997.52626,51663.64641,29780.45717,121813.9429,15416.42308,26865.27752,36635.94916,621.8808062,2225.621234,5837.804882,2106.908572,15731.98692,14104.09367,5250.041837
